model,benchmark,problem_id,held_out_block,selected_action,selected_action_label,selector_value,full_value,random_all6_value,random_removal_value,correctness_heuristic_action,correctness_heuristic_label,correctness_heuristic_value,hindsight_action,hindsight_value,selector_fullA_action,selector_fullA_value,selector_fullB_action,selector_fullB_value,proposal_correctness
oss,omni_16k,p_303b78243016c936,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 1, 0, 0]"
oss,omni_16k,p_303b78243016c936,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 1, 0, 0]"
oss,omni_16k,p_303b78243016c936,2,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 1, 0, 0]"
oss,omni_16k,p_303b78243016c936,3,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 1, 0, 0]"
oss,omni_16k,p_303b78243016c936,4,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 1, 0, 0]"
oss,omni_16k,p_9a27ae3c55cbbb0d,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_9a27ae3c55cbbb0d,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_9a27ae3c55cbbb0d,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_9a27ae3c55cbbb0d,3,0,full,1.0,1.0,0.8333333333333334,0.8,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_9a27ae3c55cbbb0d,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_139dab23fdf4e3f6,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_139dab23fdf4e3f6,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_139dab23fdf4e3f6,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_139dab23fdf4e3f6,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_139dab23fdf4e3f6,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_85e8df8cf66674ad,0,1,remove_h0,0.0,0.5,0.08333333333333333,0.0,0,full,0.5,0,0.5,1,0.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_85e8df8cf66674ad,1,0,full,0.5,0.5,0.75,0.8,0,full,0.5,1,1.0,1,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_85e8df8cf66674ad,2,0,full,0.5,0.5,0.25,0.2,0,full,0.5,1,1.0,1,1.0,0,0.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_85e8df8cf66674ad,3,0,full,0.5,0.5,0.4166666666666667,0.4,0,full,0.5,1,1.0,1,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_85e8df8cf66674ad,4,1,remove_h0,0.0,0.5,0.08333333333333333,0.0,0,full,0.5,0,0.5,1,0.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_cbf071c6f381da59,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_cbf071c6f381da59,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_cbf071c6f381da59,2,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_cbf071c6f381da59,3,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_cbf071c6f381da59,4,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_d23e224dd800cafb,0,2,remove_h1,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,0,0.0,2,0.0,"[1, 0, 0, 1, 1]"
oss,omni_16k,p_d23e224dd800cafb,1,2,remove_h1,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,0,0.0,2,0.0,"[1, 0, 0, 1, 1]"
oss,omni_16k,p_d23e224dd800cafb,2,2,remove_h1,0.0,0.5,0.08333333333333333,0.0,2,remove_h1,0.0,0,0.5,2,0.0,2,0.0,"[1, 0, 0, 1, 1]"
oss,omni_16k,p_d23e224dd800cafb,3,2,remove_h1,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,0,0.0,2,0.0,"[1, 0, 0, 1, 1]"
oss,omni_16k,p_d23e224dd800cafb,4,0,full,0.0,0.0,0.16666666666666666,0.2,2,remove_h1,1.0,2,1.0,0,0.0,0,0.0,"[1, 0, 0, 1, 1]"
oss,omni_16k,p_56d0b7bf473cb72c,0,3,remove_h2,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,3,0.0,3,0.0,"[1, 0, 0, 0, 0]"
oss,omni_16k,p_56d0b7bf473cb72c,1,3,remove_h2,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,3,0.0,3,0.0,"[1, 0, 0, 0, 0]"
oss,omni_16k,p_56d0b7bf473cb72c,2,3,remove_h2,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,3,0.0,3,0.0,"[1, 0, 0, 0, 0]"
oss,omni_16k,p_56d0b7bf473cb72c,3,3,remove_h2,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,3,0.0,3,0.0,"[1, 0, 0, 0, 0]"
oss,omni_16k,p_56d0b7bf473cb72c,4,0,full,0.0,0.0,0.16666666666666666,0.2,2,remove_h1,0.0,3,1.0,0,0.0,0,0.0,"[1, 0, 0, 0, 0]"
oss,omni_16k,p_9a13219c93728969,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 1, 1, 0, 0]"
oss,omni_16k,p_9a13219c93728969,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 1, 1, 0, 0]"
oss,omni_16k,p_9a13219c93728969,2,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 1, 1, 0, 0]"
oss,omni_16k,p_9a13219c93728969,3,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 1, 1, 0, 0]"
oss,omni_16k,p_9a13219c93728969,4,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 1, 1, 0, 0]"
oss,omni_16k,p_cbbe471c0c66bbfd,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_cbbe471c0c66bbfd,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_cbbe471c0c66bbfd,2,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_cbbe471c0c66bbfd,3,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_cbbe471c0c66bbfd,4,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_f2347d56b7f62737,0,0,full,1.0,1.0,0.8333333333333334,0.8,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_f2347d56b7f62737,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_f2347d56b7f62737,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_f2347d56b7f62737,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_f2347d56b7f62737,4,0,full,1.0,1.0,0.6666666666666666,0.6,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_a26d95d6deef4916,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_a26d95d6deef4916,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_a26d95d6deef4916,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_a26d95d6deef4916,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_a26d95d6deef4916,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_0a2e564d49a3dbb0,0,0,full,1.0,1.0,0.8333333333333334,0.8,2,remove_h1,1.0,0,1.0,2,1.0,0,1.0,"[1, 0, 1, 0, 1]"
oss,omni_16k,p_0a2e564d49a3dbb0,1,0,full,0.5,0.5,0.5833333333333334,0.6,2,remove_h1,1.0,2,1.0,0,0.0,0,1.0,"[1, 0, 1, 0, 1]"
oss,omni_16k,p_0a2e564d49a3dbb0,2,4,remove_h3,0.0,1.0,0.5,0.4,2,remove_h1,1.0,0,1.0,4,0.0,0,1.0,"[1, 0, 1, 0, 1]"
oss,omni_16k,p_0a2e564d49a3dbb0,3,0,full,1.0,1.0,1.0,1.0,2,remove_h1,1.0,0,1.0,2,1.0,0,1.0,"[1, 0, 1, 0, 1]"
oss,omni_16k,p_0a2e564d49a3dbb0,4,2,remove_h1,0.0,0.5,0.5833333333333334,0.6,2,remove_h1,0.0,1,1.0,2,0.0,0,1.0,"[1, 0, 1, 0, 1]"
oss,omni_16k,p_8ba54f45699b6bf0,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_8ba54f45699b6bf0,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_8ba54f45699b6bf0,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_8ba54f45699b6bf0,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_8ba54f45699b6bf0,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_e47e045d44f675bb,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_e47e045d44f675bb,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_e47e045d44f675bb,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_e47e045d44f675bb,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_e47e045d44f675bb,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_4bb2f35f39286ac5,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_4bb2f35f39286ac5,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_4bb2f35f39286ac5,2,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_4bb2f35f39286ac5,3,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_4bb2f35f39286ac5,4,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_b03f6b0128cf7a3b,0,0,full,0.0,0.0,0.0,0.0,5,remove_h4,0.0,0,0.0,0,0.0,0,0.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_b03f6b0128cf7a3b,1,0,full,0.0,0.0,0.0,0.0,5,remove_h4,0.0,0,0.0,0,0.0,0,0.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_b03f6b0128cf7a3b,2,0,full,1.0,1.0,0.16666666666666666,0.0,5,remove_h4,0.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_b03f6b0128cf7a3b,3,0,full,0.5,0.5,0.08333333333333333,0.0,5,remove_h4,0.0,0,0.5,0,1.0,0,0.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_b03f6b0128cf7a3b,4,0,full,0.5,0.5,0.08333333333333333,0.0,5,remove_h4,0.0,0,0.5,0,1.0,0,0.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_3794d79d24c6ae1a,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_3794d79d24c6ae1a,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_3794d79d24c6ae1a,2,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_3794d79d24c6ae1a,3,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_3794d79d24c6ae1a,4,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_ae41e22007032823,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_ae41e22007032823,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_ae41e22007032823,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_ae41e22007032823,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_ae41e22007032823,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_440dc4ab6bb0cd24,0,4,remove_h3,1.0,0.5,0.5833333333333334,0.6,1,remove_h0,1.0,1,1.0,4,1.0,0,0.0,"[0, 1, 1, 1, 1]"
oss,omni_16k,p_440dc4ab6bb0cd24,1,4,remove_h3,1.0,0.5,0.25,0.2,1,remove_h0,0.0,4,1.0,4,1.0,4,1.0,"[0, 1, 1, 1, 1]"
oss,omni_16k,p_440dc4ab6bb0cd24,2,4,remove_h3,1.0,1.0,0.6666666666666666,0.6,1,remove_h0,0.0,0,1.0,4,1.0,4,1.0,"[0, 1, 1, 1, 1]"
oss,omni_16k,p_440dc4ab6bb0cd24,3,4,remove_h3,1.0,1.0,0.6666666666666666,0.6,1,remove_h0,1.0,0,1.0,4,1.0,4,1.0,"[0, 1, 1, 1, 1]"
oss,omni_16k,p_440dc4ab6bb0cd24,4,4,remove_h3,1.0,0.5,0.5833333333333334,0.6,1,remove_h0,1.0,1,1.0,4,1.0,4,1.0,"[0, 1, 1, 1, 1]"
oss,omni_16k,p_a726df75cfb74aa8,0,0,full,1.0,1.0,1.0,1.0,5,remove_h4,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_a726df75cfb74aa8,1,0,full,1.0,1.0,1.0,1.0,5,remove_h4,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_a726df75cfb74aa8,2,0,full,1.0,1.0,1.0,1.0,5,remove_h4,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_a726df75cfb74aa8,3,0,full,1.0,1.0,1.0,1.0,5,remove_h4,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_a726df75cfb74aa8,4,0,full,1.0,1.0,1.0,1.0,5,remove_h4,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 0]"
oss,omni_16k,p_80aa64d98da94756,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_80aa64d98da94756,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_80aa64d98da94756,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_80aa64d98da94756,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_80aa64d98da94756,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_3964fa1903896e18,0,0,full,0.0,0.0,0.0,0.0,4,remove_h3,0.0,0,0.0,0,0.0,0,0.0,"[1, 1, 1, 0, 1]"
oss,omni_16k,p_3964fa1903896e18,1,0,full,0.0,0.0,0.0,0.0,4,remove_h3,0.0,0,0.0,0,0.0,0,0.0,"[1, 1, 1, 0, 1]"
oss,omni_16k,p_3964fa1903896e18,2,0,full,0.0,0.0,0.0,0.0,4,remove_h3,0.0,0,0.0,0,0.0,0,0.0,"[1, 1, 1, 0, 1]"
oss,omni_16k,p_3964fa1903896e18,3,0,full,0.0,0.0,0.0,0.0,4,remove_h3,0.0,0,0.0,0,0.0,0,0.0,"[1, 1, 1, 0, 1]"
oss,omni_16k,p_3964fa1903896e18,4,0,full,0.0,0.0,0.0,0.0,4,remove_h3,0.0,0,0.0,0,0.0,0,0.0,"[1, 1, 1, 0, 1]"
oss,omni_16k,p_cb2d435fd3cbbe60,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_cb2d435fd3cbbe60,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_cb2d435fd3cbbe60,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_cb2d435fd3cbbe60,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_cb2d435fd3cbbe60,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_6d602332f7a2ca5e,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_6d602332f7a2ca5e,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_6d602332f7a2ca5e,2,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_6d602332f7a2ca5e,3,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_6d602332f7a2ca5e,4,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_5a51be65345d4c56,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_5a51be65345d4c56,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_5a51be65345d4c56,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_5a51be65345d4c56,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_5a51be65345d4c56,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_7b87622ea3223747,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
oss,omni_16k,p_7b87622ea3223747,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 0, 0]"
